新闻标题,发布日期,发稿单位,网页链接
东北财经大学与中国工商银行大连市分行共青团联建共建单位揭牌仪式暨主题团课活动成功举办,2026-04-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97239.html
东北财经大学教授吕炜在《中国社会科学报》发表理论文章《加快构建中国财政学自主知识体系》,2026-03-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97228.html
东北财经大学党委召开科研机构联合党委成立大会,2026-03-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97150.html
辽宁省供应链新型工业化院揭牌仪式暨“数智供应链韧性与产业安全”学术研讨会在东北财经大学举行,2026-03-26,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97139.html
东北财经大学举办2026年“百校千企”人才对接计划暨2026届毕业生春季攻坚促就业“双向选择”洽谈会,2026-03-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97090.html
“活力聚联 财智交融”东北财经大学上海校友会2026年年会暨上海校友发展论坛成功举办,2026-03-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97056.html
东北财经大学金融学院鸿儒奖学金颁奖仪式暨鸿儒大讲堂成功举办,2026-03-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97042.html
东北财经大学党委书记方红星会见中国建设银行大连市分行党委书记、行长王刚一行,2026-03-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97016.html
东北财经大学教师教学创新大赛新赛道竞赛成功举办,2026-03-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96998.html
第十届东北财经大学党委第七轮巡察完成进驻,2026-03-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96995.html
东北财经大学召开构建中国哲学社会科学自主知识体系推进会,2026-03-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96968.html
东北财经大学召开2026年党风廉政建设和反腐败工作协调小组联席会议,2026-03-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96967.html
财政部会计司向东北财经大学发来感谢信,2026-03-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96966.html
东北财经大学与大连市妇女联合会成功举办“连心·We Talk”主题活动,2026-03-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96964.html
九三学社东北财经大学委员会召开第八次社员代表大会,2026-03-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96936.html
教育部留学服务中心副主任夏建辉一行到东北财经大学调研座谈,2026-03-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96923.html
东北财经大学党委树立和践行正确政绩观学习教育第1期读书班暨党委理论学习中心组集体学习会举行,2026-03-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96919.html
2026年“青春话大连”达沃斯进校园首场活动在东北财经大学成功举办,2026-03-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96907.html
东北财经大学召开教育教学督导工作落实暨督导员聘任大会,2026-03-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96905.html
东北财经大学工会组织开展学雷锋志愿服务和纪念“三八”国际劳动妇女节系列活动,2026-03-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96859.html
东北财经大学举行2026年入伍学生欢送会,2026-03-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96839.html
东北财经大学党委召开第七轮巡察工作动员部署会,2026-03-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96831.html
东北财经大学召开辅导员队伍警示教育专题会议,2026-03-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96812.html
东北财经大学召开学科专业设置调整优化机制改革试点任务推进会,2026-03-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96790.html
东北财经大学举行“英雄永不谢幕”2026年春季学期“开学第一课”主题升国旗仪式,2026-03-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96776.html
东北财经大学“巾帼绽芳华，慧心启新程”女教职工素质拓展活动成功举办,2026-03-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96772.html
东北财经大学工商管理学院举办“英雄永不谢幕”主题2026年春季“开学第一课”暨“尖山师语”活动,2026-03-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96746.html
东北财经大学党委部署启动树立和践行正确政绩观学习教育,2026-03-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96739.html
东北财经大学多项统战工作成果获得通报表扬,2026-03-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96735.html
辽宁省应急管理厅党委书记、厅长李勇一行到东北财经大学调研交流,2026-03-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96734.html
AI赋能，东北财经大学“数字人讲校史”视频正式上线,2026-03-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96730.html
大连市社会科学界联合会副主席邹巍一行到东北财经大学调研,2026-03-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96687.html
东北财经大学“习近平经济思想概论”开课,2026-03-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96665.html
校领导检查指导2026年春季学期开学首日教学工作,2026-03-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96625.html
情暖财园！校领导新春慰问在岗教职员工,2026-02-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96584.html
新华社中国经济信息社向东北财经大学发来感谢信,2026-02-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96581.html
大连市人大常委会向东北财经大学发来感谢信 对学校法学院立法联系点服务地方立法工作给予高度肯定,2026-02-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96580.html
东北财经大学马克思主义学院教授朱成全、博士生阎博强在《学习时报》发表理论文章《“投资于人”的人文经济意蕴》,2026-02-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96566.html
比亚迪股份有限公司向东北财经大学发来感谢信,2026-02-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96555.html
东北财经大学出版社17种教材入选第二批“十四五”职业教育国家规划教材,2026-02-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96554.html
东北财经大学党委领导班子召开2025年度民主生活会,2026-02-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96553.html
财政部向东北财经大学发来感谢信,2026-01-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96539.html
东北财经大学教授建言献策 助力辽宁冰雪文旅品牌提升,2026-01-28,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96537.html
东北财经大学党委副书记、校长汪旭晖应邀出席“十五五”规划与中国哲学社会科学自主知识体系构建学术研讨会并发表主旨演讲,2026-01-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96529.html
东北财经大学党委教师工作委员会举行2025年度工作会议,2026-01-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96482.html
全国高校思想政治工作网刊发东北财经大学党委书记方红星署名文章：为培养可堪大用能担重任的卓越财经人才凝聚强大的思政引领力,2026-01-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96473.html
东北财经大学市政协委员在大连市政协十四届五次会议上积极履职建言,2026-01-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96465.html
东北财经大学荣获教育部中国大学生在线2025年度校园新媒体融合共建四十强称号,2026-01-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96451.html
最具传播力高校！东北财经大学再获中宣部宣传舆情研究中心、“学习强国”学习平台表彰,2026-01-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96440.html
东北财经大学案例入选2025年辽宁省基层思想政治工作创新案例,2026-01-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96431.html
东北财经大学与管理世界杂志社签署战略合作协议,2026-01-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96406.html
东北财经大学与深圳市中兴新云服务有限公司“入职选拔短期定制班”启动会成功举办,2026-01-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96404.html
东北财经大学主办的老字号高校行活动入选商务部2026年“老字号嘉年华”活动,2026-01-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96355.html
东北财经大学党委理论学习中心组举行集体学习会 为高质量开好2025年度民主生活会打牢思想基础,2026-01-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96347.html
