新闻标题,发布日期,发稿单位,网页链接
东北财经大学韩超教授、陈震副教授在《光明日报》发表理论文章《加快推进市场监管公平统一》,2025-11-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95078.html
东北财经大学多个中外合作办学项目延期和部分项目扩招获教育部批准,2025-11-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95055.html
数据驱动，让档案工作走向“前端”,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95039.html
东北财经大学举行“杏运满途携手行，鉴往知来担使命”统一战线红色教育旅顺行活动,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95036.html
云南财经大学党委副书记、校长王敏一行到东北财经大学调研,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95022.html
东北财经大学3门优质全英文慕课入选2025年度慕课出海名单并将在印尼展开在线教学,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95021.html
东北财经大学党委副书记、校长汪旭晖一行赴辽宁省数据局开展调研,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95020.html
东北财经大学在第四届辽宁省高校组织员素质能力大赛中荣获佳绩,2025-11-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95018.html
中国统计教育学会向东北财经大学发来感谢信,2025-11-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95011.html
“低空翱翔 智创未来”东北财经大学第三届科创文化节成功举办,2025-11-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95010.html
“尖山论创：从创业者到企业家”一一东北财经大学第二届校友创新创业创投论坛成功举办,2025-11-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94998.html
新华社辽宁分社社长、分党组书记金风一行到东北财经大学调研,2025-11-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94997.html
中国民主促进会东北财经大学支部召开第八次会员大会,2025-11-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94996.html
东北财经大学召开党委常委会（扩大）会议 传达学习贯彻习近平总书记在党的二十届四中全会上的重要讲话和全会精神,2025-11-05,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94978.html
东北财经大学顺利通过辽宁省高校数字校园规范建设验收,2025-11-05,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94975.html
全国金融行业招聘会与辽宁共青团“百校千岗”活动联动——东北财经大学2026届毕业生秋季就业“双向选择”洽谈会（第二场）成功举办,2025-11-05,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94974.html
东北自贸试验区研究智库联盟学术研讨会（2025）在东北财经大学成功举办,2025-11-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94950.html
东北财经大学成功举办新入职教师教学研习营,2025-11-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94949.html
四秩重逢叙深情 尖山星海共芳华——东北财经大学1985级物资管理专业校友入学40周年重返母校团聚,2025-11-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94948.html
双向赋能，共谋发展：东北财经大学与苏州相城开启校地合作新篇章,2025-11-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94945.html
东北财经大学成功举办2025年（第十一届）全国大学生统计建模大赛国赛答辩赛,2025-11-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94935.html
“中华文明与道德经济”系列学术研讨会之“中华文明视域下的人工智能范式与智能社会发展”成功举办,2025-10-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94882.html
东北财经大学召开传达学习贯彻党的二十届四中全会精神暨思政课集体备课会,2025-10-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94844.html
东北财经大学本科教学成果奖培育研讨会成功举办,2025-10-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94824.html
第五届中国高等院校市场学研究会零售管理学术论坛在东北财经大学成功举办,2025-10-28,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94786.html
中国商业会计学会环境社会与公司治理分会2025年学术会议在东北财经大学举办,2025-10-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94762.html
东北财经大学与国网辽宁省电力有限公司大连供电公司签署战略合作协议,2025-10-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94737.html
东北财经大学党委书记方红星拜访长春市政府及在长企业,2025-10-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94721.html
东北财经大学党委副书记、校长汪旭晖出席第三届东北亚金融大会并发表主旨演讲,2025-10-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94711.html
“全面振兴新突破东财论坛：激发消费活力与推进文体旅融合发展”成功举办,2025-10-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94707.html
“全面振兴新突破东财论坛：促进国企改革与民营企业健康发展暨中国自主内部控制知识体系构建及应用研讨会”成功举办,2025-10-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94706.html
东北财经大学举办教职工心理健康主题讲座,2025-10-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94689.html
东北财经大学应邀参加全国财经高校教育改革与高质量发展论坛暨第二届数智新财经高校联盟大会,2025-10-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94682.html
东北财经大学党委副书记、校长汪旭晖会见阜新银行党委书记、董事长卢德开一行,2025-10-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94681.html
辽宁省社会科学界联合会党组书记、主席关蓉晖一行到东北财经大学调研,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94599.html
四秩光阴归母校 一堂同窗叙旧情——东北财经大学1981级商业经济专业2班校友毕业40周年重返母校团聚,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94589.html
“全面振兴新突破东财论坛：扩大对外开放与深化东北亚区域经济合作”成功举办,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94588.html
“全面振兴新突破东财论坛：全面深化改革与地方政府财政职能”成功举办,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94587.html
中国致公党东北财经大学支部第七次党员大会召开,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94583.html
东北财经大学吕炜教授在《经济日报》发表理论文章《发挥财政作用服务和支撑中长期规划》,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94577.html
东北财经大学社会科学界联合会成立大会暨第一次代表大会成功召开,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94570.html
东北财经大学成功举办“全面深化改革开放 激发全社会创业创新动力活力”学术研讨会,2025-10-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94569.html
“情系东财 逐梦泉城”东北财经大学济南校友会2025年度会议暨迎新会成功举办,2025-10-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94563.html
东北财经大学成功举办数智技术赋能教育教学实践应用——智慧教室及系统应用专题培训,2025-10-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94539.html
弘扬伟大抗美援朝精神 凝聚民族复兴磅礴力量——东北财经大学举办纪念中国人民志愿军抗美援朝出国作战75周年主题活动,2025-10-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94510.html
东北财经大学党委理论学习中心组举行集体学习会 参观“一部英雄史 赓续中华魂——纪念中国人民志愿军抗美援朝出国作战75周年专题展”,2025-10-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94509.html
东北财经大学教师受邀参加国际统计学会第65届世界统计大会,2025-10-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94475.html
东北财经大学举办第二届组织员素质能力大赛,2025-10-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94465.html
东北暨内蒙古地区《中国金融学》教材试用试教备课会在东北财经大学成功举办,2025-10-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94452.html
东北财经大学荣获ACCA年度“卓越教育奖”,2025-10-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94417.html
东北财经大学1991级财政金融系财政学专业师资班校友毕业30周年重返母校相聚,2025-10-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94383.html
东北财经大学1991级投资经济管理专业校友毕业30周年重返母校,2025-10-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94382.html
东北财经大学荣获全国大学生市场调查与分析大赛多项荣誉,2025-10-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94337.html
东北财经大学党委副书记、校长汪旭晖教授在《经济日报》发表理论文章《加快培育全国一体化数据市场》,2025-10-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94317.html
东北财经大学举办“学规定、强作风、树形象”主题教育暨党外代表人士履职能力培训班,2025-09-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94291.html
东北财经大学举行庆祝中华人民共和国成立76周年升国旗仪式,2025-09-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94278.html
东北财经大学党委举行第六轮巡察工作动员部署会,2025-09-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94264.html
东北财经大学举行党委领导班子学习贯彻习近平新时代中国特色社会主义思想读书班 专题学习《习近平谈治国理政》第五卷,2025-09-28,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94187.html
东北财经大学举行2025级本科生军训成果汇报暨总结表彰大会,2025-09-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94110.html
2025年东北财经大学教师教学创新大赛成功举办,2025-09-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94107.html
教育部民族教育司、新疆维吾尔自治区教育厅、新疆生产建设兵团教育局向东北财经大学发来感谢信,2025-09-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94083.html
“小银杏”智耀科交会 “新引擎”赋能产学研,2025-09-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94074.html
东北财经大学2026届毕业生秋季就业“双向选择”洽谈会成功举办,2025-09-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94073.html
第九届全国高校国际贸易学科协作组青年论坛暨2025年博士生论坛在东北财经大学成功举办,2025-09-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94072.html
首届东北暨内蒙古地区统计与数据科学发展论坛及东北暨内蒙古地区统计与数据科学学科合作发展联盟揭牌仪式在东北财经大学成功举办,2025-09-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94059.html
东北财经大学1981级财政金融系财政学专业2班校友毕业40周年重返母校相聚,2025-09-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94058.html
东北财经大学举办统战大讲堂暨大连市友谊医院健康进校园活动,2025-09-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94038.html
第十届全国学生“学宪法 讲宪法”活动辽宁赛区演讲比赛决赛在东北财经大学圆满落幕,2025-09-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94035.html
东北财经大学陈艳利教授获聘财政部第一届企业财务咨询专家,2025-09-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_94007.html
东北财经大学与澳大利亚国立大学合作十周年系列活动圆满举行,2025-09-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93974.html
东北财经大学演讲协会校友分会成立大会暨“启鸣”基金启动仪式成功举办,2025-09-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93872.html
经济日报刊发重磅调研：大连逐浪,2025-09-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93860.html
东北财经大学1981级物资管理专业2班校友毕业四十载荣归母校,2025-09-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93837.html
东北财经大学举行2025年退伍学生欢迎会暨入伍学生欢送会,2025-09-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93834.html
财园追光，师泽新程！东北财经大学博雅空间快闪温暖遇见新学期,2025-09-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93737.html
东北财经大学举办庆祝2025年教师节大会,2025-09-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93712.html
东北财经大学举行2025级本科生军训动员大会,2025-09-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93703.html
东北财经大学党委召开会议，巩固拓展深入贯彻中央八项规定精神学习教育成果，推进作风建设常态化长效化,2025-09-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93695.html
东北财经大学举行2025级新生开学典礼,2025-09-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93650.html
桑榆未晚，银龄生辉——“教育部高校银龄教师支援西部计划”东北财经大学教师风采,2025-09-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93633.html
财政部向我校发来第41个教师节贺信,2025-09-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93615.html
中国农工民主党东北财经大学支部委员会召开第四次党员大会,2025-09-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93591.html
喜报！东北财经大学8个新媒体账号获得2025年度易班“优质思政内容建设”培育项目立项,2025-09-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93611.html
东北财经大学师生积极收看收听纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会,2025-09-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93505.html
校领导调研2025年秋季学期开学工作,2025-09-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93463.html
弘扬伟大抗战精神 弘扬东北抗联精神 为实现中华民族伟大复兴而奋斗——东北财经大学举办《群山回唱·行走课堂》“开学第一课”活动,2025-09-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93461.html
第十七届全国青年管理科学与系统科学学术会议在东北财经大学成功举办,2025-08-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93435.html
纪念中国人民抗日战争暨世界反法西斯战争胜利80周年思政课集体备课会和《数字人思政课：大力弘扬东北抗联精神》上线仪式成功举行,2025-08-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93434.html
东北财经大学成功举办2025年POMS中国暑期学校,2025-08-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93429.html
2025年度《系统工程理论与实践》编委会会议在东北财经大学成功举办,2025-08-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93425.html
“中华文明视域下的高质量发展测度”学术研讨会成功举办,2025-08-21,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93321.html
《中国共青团》杂志报道《东北财经大学：在党的旗帜下奋进新征程、创造新业绩》,2025-08-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93311.html
东北财经大学党委副书记、校长汪旭晖赴大连长兴岛经济技术开发区调研,2025-08-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93318.html
东北财经大学党委副书记、校长汪旭晖会见中国联通大连市分公司党委书记、总经理白国富一行,2025-08-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93285.html
省政协委员、东北财经大学学术委员会主任唐加福教授参加省政协专题协商会,2025-08-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93279.html
东北财经大学成功举办经济测度与经济统计学研讨班（第二期）,2025-07-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93247.html
东北财经大学三门课程入选教育部第一批“智慧课程新疆行”精品智慧课程,2025-07-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93246.html
大连市留学青年“青衿致新”创新创业训练营在东北财经大学开班,2025-07-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93193.html
东北财经大学成功举办中国会计学会2025年学术年会,2025-07-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93192.html
东北财经大学学术委员会（2025-2028）第一次全体会议成功召开,2025-07-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93187.html
东北财经大学成功举办“2025人工智能与数字金融暑期研讨会”,2025-07-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93134.html
东北财经大学成功举办第十五届全国大学生电子商务“三创”挑战赛辽宁省选拔赛,2025-07-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93086.html
东北财经大学成功举办第二届MIB国际贸易融资竞赛,2025-07-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93077.html
东北财经大学召开研究生教育综合改革研讨会,2025-07-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93033.html
东北财经大学党委理论学习中心组举行集体学习会 深入学习贯彻习近平总书记系列重要讲话和重要指示批示精神,2025-07-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93027.html
东北财经大学党委副书记、校长汪旭晖到青年教师中开展调研并讲授深入贯彻中央八项规定精神学习教育专题党课,2025-07-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93034.html
第十届东北财经大学党委第五轮巡察完成反馈,2025-07-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93026.html
东北财经大学党委书记方红星会见中国农业银行大连市分行党委书记、行长李鹏一行,2025-07-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93025.html
东北财经大学第二批AI课程示范课程建设工作坊成功举办,2025-07-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93021.html
东北暨内蒙古地区会计硕士专业学位联盟人才培养年度研讨会（2025）在东北财经大学成功召开,2025-07-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93020.html
东北财经大学召开“十五五”规划编制工作部署会,2025-07-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93004.html
东北财经大学举办辅导员培养培训赋能行动——“向新力”AI技术训练营,2025-07-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_93003.html
中国共产党东北财经大学第十届委员会第五次全体会议召开,2025-07-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92954.html
东北财经大学成功举办2025年“合作·共生·治理”国际学术会议,2025-07-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92953.html
东北财经大学召开2025年网络安全和信息化工作会议暨数据治理工作会,2025-07-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92895.html
省委决定佟春光同志任东北财经大学党委委员、常委、副书记，施锦芳同志任东北财经大学党委委员、常委、副校长（试用期一年）,2025-07-08,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92851.html
东北财经大学举办“心理危机预防与干预”专题培训,2025-07-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92810.html
东北财经大学与大连市医疗保障局举行战略合作签约仪式,2025-07-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92808.html
“铭记历史，同心奋进”东北财经大学基层党组织统战工作交流暨党外人士座谈会成功举办,2025-07-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92809.html
民盟东北财经大学委员会召开第五次盟员代表大会,2025-07-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92791.html
“卓越党建”工程扎实推进，东北财经大学基层党建工作获持续关注,2025-07-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92755.html
中国高校财经慕课联盟第三届全国财经高校“同课异构”教学竞赛赛前培训暨新时代高校数智财经教育发展研讨会在东北财经大学成功召开,2025-07-02,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92751.html
热烈庆祝中国共产党成立104周年,2025-07-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92715.html
东北财经大学体育发展论坛（2025年第一期）成功举办,2025-07-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92726.html
中共辽宁省委宣传部与东北财经大学共同举办红色文化讲堂 大力弘扬东北抗联精神,2025-06-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92714.html
新时代高校数智财经教育发展工作会议暨辽宁省数字经济现代产业学院建设推进会在东北财经大学成功召开,2025-06-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92708.html
“大力弘扬东北抗联精神——辽宁省中国特色社会主义理论体系研究中心理论研讨会”在东北财经大学成功举办,2025-06-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92692.html
“全面振兴新突破东财论坛：未来五年我国区域发展战略布局与东北全面振兴新突破方向”成功举办,2025-06-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92685.html
东北财经大学成功举办第十届风险灾害危机多学科论坛,2025-06-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92663.html
厚植法治信仰，赋能财税英才——东北财经大学第二十届税法宣传月系列活动圆满结束,2025-06-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92670.html
东北财经大学党委副书记、校长汪旭晖会见大连市数据产业有限公司总经理植垚一行,2025-06-26,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92646.html
东北财经大学就业工作成果获批“新时代高校学生国际就业力培养计划”首批试点院校立项,2025-06-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92636.html
2025“文化东财 自信自强”校园文化节精彩落幕，获奖名单新鲜出炉～,2025-06-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92633.html
东北财经大学举行“光荣在党50年”纪念章颁发仪式,2025-06-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92625.html
东北财经大学成功举办“IAER Econometrics Workshop 2025”,2025-06-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92624.html
东北财经大学举办党建工作专题研讨会,2025-06-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92558.html
英国奥斯特大学代表团访问东北财经大学，深化两校教育合作,2025-06-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92557.html
东北财经大学AI课程示范课程建设工作坊成功举办,2025-06-20,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92554.html
东北财经大学成功举办第二期“鼎创实验班”开班暨首期“鼎创实验班”结业仪式,2025-06-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92516.html
爱的双向奔赴 | 东北财经大学举办“星海·启航”2025届毕业生毕业晚会,2025-06-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92499.html
东北财经大学举行2025年毕业典礼暨学位授予仪式,2025-06-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92455.html
赓续红色血脉 续写时代新篇——《东财春秋》原创校史剧首演圆满落幕,2025-06-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92443.html
东北财经大学成功举办“IAER Macroeconomics Workshop 2025”,2025-06-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92678.html
东北财经大学举办2025年度大学生志愿服务西部计划志愿者暨第27届中国青年志愿者研究生支教团座谈会,2025-06-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92400.html
东北财经大学接受来华留学生高等教育质量再认证现场审查,2025-06-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92399.html
共话成长寄深情 奋楫扬帆启新程 东北财经大学“校长有约”2025届毕业生座谈会举行,2025-06-14,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92398.html
东北财经大学党委书记为2025届毕业生讲授专题党课 引领青年党员以严的纪律实的作风走好廉洁从业之路,2025-06-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92383.html
东北财经大学党委书记方红星讲授深入贯彻中央八项规定精神学习教育专题党课,2025-06-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92361.html
东北财经大学召开2025届毕业生就业工作推进会,2025-06-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92358.html
东北财经大学党委理论学习中心组（扩大）举行集体学习会,2025-06-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92354.html
学校纪委（监察专员办）召开违规使用公务加油卡问题处理情况通报会,2025-06-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92352.html
东北财经大学纪委召开党风廉政建设和反腐败工作协调小组会议,2025-06-12,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92350.html
东北财经大学2025届毕业生心目中“最有影响力的恩师”评选结果揭晓,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92337.html
东北财经大学成功举办第十四届产业组织前沿问题研讨会,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92333.html
东北财经大学明德讲堂（第三期）“青年教师的教学、科研与成长之路”成功举办,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92332.html
东北财经大学成功举办数智经济与智能财务论坛,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92330.html
2025CGMA商业精英国际挑战赛（GBC）在东北财经大学顺利落幕,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92324.html
东北财经大学会计学院AACSB自评报告成功通过评审,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92323.html
第五届香樟税收学论坛在东北财经大学成功举办,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92326.html
东北财经大学“弘扬东北抗联精神 凝聚奋勇争先力量”中国共产党人的精神谱系宣讲活动成功举办,2025-06-11,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92318.html
“中华文明与道德经济”系列学术研讨会首次会议成功举办,2025-06-10,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92293.html
东北财经大学举行第27届“日本财产保险（中国）有限公司奖教·奖学基金”颁奖仪式,2025-06-09,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92253.html
大连证监局党委书记、局长郭俊一行到东北财经大学调研,2025-06-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92243.html
辽宁省社会科学界联合会副主席杨波一行到东北财经大学调研,2025-06-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92240.html
东北财经大学召开激发法文理学科特色优势共同构建一流学科生态体系座谈会,2025-06-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92224.html
东北财经大学召开加快构建中国经管学科自主知识体系座谈会,2025-06-04,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92167.html
东北财经大学承办的2025年全省高校学生党支部书记骨干培养培训班圆满结束,2025-06-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92147.html
东北财经大学党委深入贯彻中央八项规定精神学习教育第3期读书班暨党委理论学习中心组集体学习会举行,2025-06-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92145.html
东北财经大学代表参加中外合作办学联席会第十一次会议,2025-06-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92135.html
“数创美好 智启未来”东北财经大学第二届科技文化节成功举办,2025-06-03,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92134.html
东北财经大学第五十届田径运动会顺利举行,2025-05-30,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_92120.html
