新闻标题,发布日期,发稿单位,网页链接
东北财经大学党外代表人士能力提升专题培训班圆满举办,2026-04-29,,https://www.dufe.edu.cn/news/news/content_98183.html
东北财经大学青年教师马军荣获2026年度新时代青年先锋奖,2026-04-29,,https://www.dufe.edu.cn/news/news/content_98125.html
五秩风华归财园 初心如磐忆芳华——东北财经大学会计学院1973级工业会计专业校友毕业50周年重返母校相聚,2026-04-29,,https://www.dufe.edu.cn/news/news/content_98055.html
关于严明“五一”、端午节日期间纪律要求的通知,2026-04-29,,https://www.dufe.edu.cn/news/news/content_98181.html
关于第十五届“挑战杯”全国大学生创业计划竞赛东北财经大学...,2026-04-29,,https://www.dufe.edu.cn/news/news/content_98202.html
